Feature,Value
333_max,22.07835815925337
333_min,-22.072190975924002
333_peak,22.07835815925337
333_peak2peak,44.15054913517737
333_mean,6.480554784806164e-15
333_std,10.251794576956621
333_var,105.09929204811719
333_q75,9.638469733323213
333_q25,-9.633270070742201
333_iqr,19.27173980406541
333_cv,1581931627365026.0
333_mean_abs,9.042227504897946
333_rms,10.2513139827845
333_crest,2.153710070370546
333_clearance,2.6997159720539767
333_shape,1.1337155559547272
333_impulse,2.441694609795438
333_skewness,-0.0016737161968649777
333_kurtosis,-1.1982175281181247
333_zero_crossing_rate,0.00046882325363338024
333_median,0.018006241963754402
333_mad,9.63717510745252
333_energy,1120883.94969317
333_entropy,5.1656327746445925
333_max,0.02511356468974521
333_min,4.380502806357798e-15
333_peak,0.02511356468974521
333_peak2peak,0.02511356468974083
333_mean,1.1480060277168897e-05
333_std,0.00039935455411452546
333_var,1.5948405989201143e-07
333_q75,1.7117728052547612e-06
333_q25,3.600486207356184e-13
333_iqr,1.7117724452061405e-06
333_cv,34.78679941330504
333_mean_abs,1.1480060277168897e-05
333_rms,0.00039948209790387164
333_crest,62.86530690991903
333_clearance,44511.7042943505
333_shape,34.79790944115044
333_impulse,2187.581256841491
333_skewness,53.37227859696446
333_kurtosis,3122.4440516247982
333_zero_crossing_rate,0.0
333_median,1.2847455959362663e-12
333_mad,1.1760816616731075e-12
333_energy,0.0008510718529281033
333_entropy,0.017768114725252176
444_OA,16.740353223740392
444_FFT_0.25X,2.841321977118141
444_FFT_0.5X,1.3274083178123512
444_FFT_1X,0.6417174713743791
444_FFT_2X,0.3160869112291369
444_FFT_3X,0.2112368471687794
444_FFT_4X,0.15781356606325037
444_FFT_8X,0.07860285787371082
444_FFT_16X,0.039456391249163586
444_spectrum_BPFO,2.480166619928762
444_spectrum_BPFO_2X,1.2422783554996262
444_spectrum_BPFO_3X,0.829048961819449
444_spectrum_BPFO_total_energy,8.381804156245622
444_spectrum_BPFI,1.8096158846124772
444_spectrum_BPFI_2X,0.863242211268869
444_spectrum_BPFI_3X,0.5683509797620747
444_spectrum_BPFI_total_energy,4.342919601354676
444_spectrum_BSF,6.618564655290079
444_spectrum_BSF_2X,2.480166619928762
444_spectrum_BSF_3X,1.6582227318639777
444_spectrum_BSF_total_energy,52.70632718733438
444_spectrum_FTF,12.83764823154911
444_spectrum_FTF_2X,12.83764823154911
444_spectrum_FTF_3X,12.83764823154911
444_spectrum_FTF_total_energy,494.41563635098794
444_freq_centroid,412.4592868467521
444_freq_spread,734.876306627183
444_freq_rms,842.7133850533886
444_freq_variance,2346.367714621379
444_freq_irregularity,0.3591565720078845
444_freq_cov,1.7816941697332274
444_freq_skewness,2.126647394949777
444_freq_kurtosis,6.642093458371781
444_freq_roughness,0.780411905180847
444_freq_rolloff,734.876306627183
222_subband_0_max,0.12675611309437707
222_subband_0_min,7.75363715441805e-08
222_subband_0_peak,0.12675611309437707
222_subband_0_peak2peak,0.12675603555800552
222_subband_0_mean,0.05012386907136012
222_subband_0_std,0.037364329121418446
222_subband_0_var,0.0013960930906936786
222_subband_0_q75,0.07895686132530837
222_subband_0_q25,0.01399636599878492
222_subband_0_iqr,0.06496049532652345
222_subband_0_cv,0.7454398436047259
222_subband_0_mean_abs,0.05012386907136012
222_subband_0_rms,0.06248452145886465
222_subband_0_crest,2.02860020585777
222_subband_0_clearance,3.153446939074226
222_subband_0_shape,1.2466021202375055
222_subband_0_impulse,2.528857317736536
222_subband_0_skewness,0.2514745515675886
222_subband_0_kurtosis,-1.1467195975919688
222_subband_0_zero_crossing_rate,0.0
222_subband_0_median,0.048886145226179546
222_subband_0_mad,0.03231266442476671
222_subband_0_energy,1.3040413509290678
222_subband_0_entropy,5.342345167654045
222_subband_1_max,0.03493113676203712
222_subband_1_min,-0.029559883432801484
222_subband_1_peak,0.03493113676203712
222_subband_1_peak2peak,0.0644910201948386
222_subband_1_mean,-4.4121617418356114e-06
222_subband_1_std,0.015463223524027493
222_subband_1_var,0.00023911128175403725
222_subband_1_q75,0.006741921975488031
222_subband_1_q25,-0.008669943109782089
222_subband_1_iqr,0.015411865085270121
222_subband_1_cv,-3504.681928907316
222_subband_1_mean_abs,0.01136701312412871
222_subband_1_rms,0.015440058263492037
222_subband_1_crest,2.2623707868144303
222_subband_1_clearance,4.205707230673702
222_subband_1_shape,1.3583214952675204
222_subband_1_impulse,3.073026869995333
222_subband_1_skewness,-0.001236065168725073
222_subband_1_kurtosis,-0.22805487003736724
222_subband_1_zero_crossing_rate,0.7912912912912913
222_subband_1_median,0.00031637310020088465
222_subband_1_mad,0.007590231207188959
222_subband_1_energy,0.07962406332612959
222_subband_1_entropy,5.106878402460667
222_subband_2_max,0.014784016049318487
222_subband_2_min,-0.01304206971049816
222_subband_2_peak,0.014784016049318487
222_subband_2_peak2peak,0.027826085759816648
222_subband_2_mean,-1.1199212122223e-05
222_subband_2_std,0.005758767005463774
222_subband_2_var,3.31633974232182e-05
222_subband_2_q75,0.0025158359967054392
222_subband_2_q25,-0.0027063571977484005
222_subband_2_iqr,0.00522219319445384
222_subband_2_cv,-514.2117983493183
222_subband_2_mean_abs,0.004022957861796801
222_subband_2_rms,0.005750150540335341
222_subband_2_crest,2.571065913077174
222_subband_2_clearance,5.1611763923966105
222_subband_2_shape,1.4293340218500603
222_subband_2_impulse,3.6749119819801943
222_subband_2_skewness,0.12646437522840998
222_subband_2_kurtosis,0.554429546473405
222_subband_2_zero_crossing_rate,0.7837837837837838
222_subband_2_median,0.0001211191402889795
222_subband_2_mad,0.0025246463815208385
222_subband_2_energy,0.011043453232997283
222_subband_2_entropy,4.834934437430458
222_subband_3_max,0.019202841909380482
222_subband_3_min,-0.014624956038969163
222_subband_3_peak,0.019202841909380482
222_subband_3_peak2peak,0.03382779794834964
222_subband_3_mean,1.845328361937742e-05
222_subband_3_std,0.008035561217731031
222_subband_3_var,6.4570244083903e-05
222_subband_3_q75,0.004115824185913703
222_subband_3_q25,-0.0057596663497416975
222_subband_3_iqr,0.009875490535655401
222_subband_3_cv,435.45427380160413
222_subband_3_mean_abs,0.006152835768666155
222_subband_3_rms,0.008023544137318357
222_subband_3_crest,2.3933116813137505
222_subband_3_clearance,4.024007928845565
222_subband_3_shape,1.304040029506223
222_subband_3_impulse,3.1209742355179713
222_subband_3_skewness,0.530125377210796
222_subband_3_kurtosis,-0.25480105021524135
222_subband_3_zero_crossing_rate,0.7972972972972973
222_subband_3_median,-0.0005653544904268659
222_subband_3_mad,0.005054857258764724
222_subband_3_energy,0.02150200501484759
222_subband_3_entropy,5.211470077559787
222_subband_4_max,0.006499055220807371
222_subband_4_min,-0.006273291737823495
222_subband_4_peak,0.006499055220807371
222_subband_4_peak2peak,0.012772346958630866
222_subband_4_mean,-7.3375140159461555e-06
